高校名,学校独自URL,生徒数,国公立合格者数,合格率
小金井北高等学校,http://www.koganeikita-h.metro.tokyo.jp/,-,-,-
東大和南高等学校,https://www.metro.ed.jp/higashiyamatominami-h/,-,-,-
明治大学付属明治高等学校,https://www.meiji.ac.jp/ko_chu/,-,-,-
小平南高等学校,https://www.metro.ed.jp/kodairaminami-h/,-,-,-
東村山西高等学校,http://www.higashimurayamanishi-h.metro.tokyo.jp/,-,-,-
南平高等学校,https://www.metro.ed.jp/minamidaira-h/,-,-,-
小川高等学校,http://www.ogawa-h.metro.tokyo.jp/,-,-,-
足立新田高等学校,https://www.metro.ed.jp/adachishinden-h/,-,-,-
白百合学園高等学校,https://www.shirayuri.ed.jp/top.html,-,-,-
正則学園高等学校,http://www.seisokugakuen.ac.jp,-,-,-
山崎高等学校,http://www.yamasaki-h.metro.tokyo.jp/,-,-,-
共立女子中学高等学校,https://www.kyoritsu-wu.ac.jp/chukou/,-,-,-
田柄高等学校,https://www.metro.ed.jp/tagara-h/,-,-,-
神田女学園高等学校,https://www.kandajogakuen.ed.jp/,-,-,-
日野台高等学校,https://www.metro.ed.jp/hinodai-h/,-,-,-
田無高等学校,https://www.metro.ed.jp/tanashi-h/,-,-,-
大妻高等学校,https://www.otsuma.ed.jp/,-,-,-
晴海総合高等学校,https://www.metro.ed.jp/harumisogo-h/,-,-,-
三輪田学園高等学校,http://www.miwada.ac.jp/,-,-,-
錦城学園高等学校,http://www.kinjogakuen-h.ed.jp/,-,-,-
松が谷高等学校,http://www.matsugaya-h.metro.tokyo.jp/,-,-,-
跡見学園高等学校,http://www.atomi.ac.jp/jh/,-,-,-
山脇学園高等学校,https://www.yamawaki.ed.jp/,-,-,-
渋谷教育学園渋谷高等学校,https://www.shibushibu.jp,-,-,-
早稲田大学高等学院,https://www.waseda.jp/school/shs/,-,-,-
麻布高等学校,https://www.azabu-jh.ed.jp/about/schoolsong/,-,-,-
国学院高等学校,https://www.kokugakuin.ed.jp,-,-,-
慶應義塾女子高等学校,http://www.gshs.keio.ac.jp/,-,-,-
学習院高等科,https://www.gakushuin.ac.jp/bsh/,-,-,-
学習院女子高等科,https://www.gakushuin.ac.jp/girl/,-,-,-
芝国際高等学校,https://www.shiba-kokusai.ed.jp/,-,-,-
郁文館グローバル高等学校,http://www.ikubunkan.ed.jp/,-,-,-
三田国際学園高等学校,https://www.mita-is.ed.jp,-,-,-
東洋英和女学院高等部,https://www.toyoeiwa.ac.jp,-,-,-
普連土学園高等学校,http://www.friends.ac.jp/,-,-,-
芝高等学校,https://www.shiba.ac.jp/,-,-,-
開智日本橋学園高等学校,http://www.kng.ed.jp,-,-,-
東京女学館高等学校,https://www.tjk.jp/mh/,-,-,-
晃華学園高等学校,https://jhs.kokagakuen.ac.jp/,-,-,-
高輪高等学校,https://www.takanawa.ed.jp/,2025,-,-
青山学院高等部,https://www.agh.aoyama.ed.jp/,-,-,-
広尾学園中学校高等学校,https://www.hiroogakuen.ed.jp,-,-,-
早稲田大学系属早稲田実業学校高等部,https://www.wasedajg.ed.jp/,-,-,-
海城高等学校,https://www.kaijo.ed.jp/,-,-,-
東海大学付属高輪台高等学校,https://www.takanawadai.tokai.ed.jp/,-,-,-
早稲田高等学校,https://www.waseda-h.ed.jp/,1,-,-
明治学院高等学校,http://www.meigaku.ed.jp/,-,-,-
郁文館高等学校,https://www.ikubunkan.ed.jp/hs/index.html,8,-,-
成城高等学校,http://www.seijogakko.ed.jp/,-,-,-
実践女子学園高等学校,https://hs.jissen.ac.jp/index.html,-,-,-
頌栄女子学院高等学校,https://www.shoei.ed.jp/,-,-,-
自由ヶ丘学園高等学校,http://www.jiyugaoka.ed.jp,-,-,-
成立学園高等学校,http://www.seiritsu.ac.jp/,-,-,-
香蘭女学校高等科,https://www.koran.ed.jp/,-,-,-
立正大学付属立正高等学校,https://www.rissho-hs.ac.jp/,-,-,-
東洋大学京北高等学校,https://www.toyo.ac.jp/toyodaikeihoku/,-,-,-
関東第一高等学校,https://www.kanto-ichiko.ac.jp/,-,-,-
駒込高等学校,http://www.komagome.ed.jp,2025,-,-
朋優学院高等学校,http://www.ho-yu.ed.jp,-,-,-
開成高等学校,https://kaiseigakuen.jp/,-,-,-
上野学園高等学校,http://www.uenogakuen.ed.jp/,-,-,-
八雲学園高等学校,https://www.yakumo.ac.jp,-,-,-
日本大学豊山高等学校,https://www.buzan.hs.nihon-u.ac.jp/,-,-,-
順天高等学校,https://www.junten.ed.jp/,-,-,-
女子聖学院高等学校,http://www.joshiseigakuin.ed.jp/,2025,-,-
小石川淑徳学園高等学校,https://ssc1892.ed.jp/,-,-,-
桜蔭高等学校,https://www.oin.ed.jp/,7,-,-
品川女子学院高等部,https://www.shinagawajoshigakuin.jp/,-,-,-
青稜高等学校,http://www.seiryo-js.ed.jp/,142,-,-
獨協高等学校,https://www.dokkyo.ed.jp/,-,-,-
